En->X,Size,en->cs,en->de,en->es,en->fr,en->ru,en->sr,en->bn,en->zh,en->ja,en->ko,en->ar,en->th,en->hu,en->vi,en->sw,en->te,AVG
InternLM2.5,7B,16.31935005,24.29372865,26.82977782,33.82965055,21.05867323,5.048549638,2.389032437,29.28122367,9.316551543,4.872550315,10.07701905,1.68426433,3.282564315,11.05457901,0.691682721,2.797437116,12.7
Qwen2.5,7B,17.20231307,26.4413294,28.08734731,33.01394358,23.20964217,6.074983224,8.673883508,28.14974706,13.14976742,10.59030323,19.61501332,14.00798663,8.281536535,23.1685065,3.011121221,3.513585641,16.6
DeepSeek-R1-Distill-Qwen,7B,5.504417346,12.44790366,14.35503344,20.21525475,6.674106995,1.843778943,3.072249211,20.44470242,2.392706643,0.92349219,2.699678098,1.094529899,3.830834206,9.270495349,2.896428682,1.591048801,6.8
Llama3.1,8B,27.28759548,34.31281619,32.01610229,40.40571483,26.8177774,17.37285869,20.22877128,26.09776494,15.97365563,15.84293191,23.50551771,15.93107268,24.11100734,33.19938766,18.69669461,22.22928765,24.6
DeepSeek-R1-Distill-Llama,8B,14.59590662,21.10390558,22.01356923,29.54526363,15.17912843,1.60292053,0.80421358,23.17023284,7.845766073,3.214358065,10.7025562,7.016699097,11.03690832,18.32257519,6.682931505,2.68757777,12.2
Aya-Expanse,8B,32.07613565,37.04241278,33.51213992,43.08131482,29.10930021,4.395909336,7.271644022,29.17174498,20.73426774,20.05090016,31.42483969,5.421745951,5.698152289,34.05398224,3.950201216,7.24927475,21.5
Gemma2,9B,29.68895056,36.81452356,32.58552804,43.05446369,29.12985302,21.77492889,19.88015373,30.29499721,20.30695595,18.18003972,26.28072748,17.87377275,24.36561558,33.27142962,29.89541032,21.06449586,27.2
InternLM2.5,20B,17.01119518,28.83388735,28.66622301,36.94849981,21.77132446,6.381099137,1.158948359,30.61472108,11.67369862,8.038891957,15.27083419,5.153769678,4.818080298,17.42514904,1.692824697,2.714917195,14.9
Gemma2,27B,33.24598636,39.00664583,34.06036598,44.50945671,31.62765283,26.91228464,24.09436782,32.3098715,22.50465763,20.3415172,30.31117916,20.14889805,28.30463462,35.41961883,36.46064525,27.06128615,30.4
Aya-Expanse,32B,34.6821079,39.19158399,34.38218454,45.45442532,30.54401205,11.90025476,14.31662715,31.97990146,23.39845464,22.54042593,34.0163632,10.11510275,14.57632148,36.08608901,7.914370348,12.47023247,25.2
Qwen2.5,32B,25.47881482,34.03955658,31.75585987,41.13049842,27.99766113,11.67899361,17.11858341,31.78639909,18.67283195,16.8870338,24.18385148,17.44471701,15.0617597,31.54197835,8.934681481,8.970847362,22.7
DeepSeek-R1-Distill-Qwen,32B,23.08331616,31.54471897,29.2566117,39.73779866,24.48510943,7.603828545,12.10370555,29.83147832,16.98786014,15.40081388,20.07442906,16.8283247,12.93368263,30.39265513,7.473000266,6.406753249,20.3
Llama3.1,70B,33.84735373,40.33627771,34.48070985,45.34339809,31.51981879,26.88398924,28.73026231,31.5372229,20.29365816,19.21993955,30.79276686,19.20952567,31.477088,37.33416879,33.02986438,33.81259443,31.1
Llama3.3,70B,34.84616454,41.19963206,36.28346584,45.63286739,32.57640414,27.07580046,28.60932378,30.77880773,20.99321036,19.96098159,30.57197835,18.93831892,31.66820441,37.9179992,33.65047622,33.94513334,31.5
DeepSeek-R1-Distill-Llama,70B,31.79750775,37.51963712,32.60798595,40.25304395,30.13680951,23.55725535,25.99408446,27.90072899,18.98763812,16.64011011,23.31993473,17.37863383,27.16690745,33.51846636,0.149339655,29.49456602,26.0
Qwen2.5,72B,29.28954506,36.9780836,33.23661264,43.92603323,30.23067419,18.09646918,19.91035431,33.29218985,21.46597219,19.35315055,28.91967614,19.71489878,19.48458817,35.01381629,12.58834768,11.85294811,25.8
DeepSeek-V3,37B/671B,38.26127526,42.72701689,35.2568331,47.19805989,33.93096699,30.25563115,30.1902535,33.82321781,25.51429881,23.52071727,34.06962119,23.02528782,31.39957995,37.22605909,39.28636083,36.30177311,33.9
gpt-4o-mini-2024-07-18,,33.84705685,40.23453212,34.07000762,44.81552439,31.42729346,26.61073378,23.62600657,31.22814188,22.70103566,21.78917223,31.16305112,20.02143819,29.74457232,35.30850423,36.55679776,22.18950474,30.3
,,,,,,,,,,,,,,,,,,
X->En,Size,cs->en,de->en,es->en,fr->en,ru->en,sr->en,bn->en,zh->en,ja->en,ko->en,ar->en,th->en,hu->en,vi->en,sw->en,te->en,AVG
InternLM2.5,7B,28.2320567,35.32191095,31.25256042,35.92303382,27.02844161,23.00311324,9.657973752,23.03656449,17.44012247,16.74598168,18.29965422,7.011459729,18.44765566,19.57930182,7.020829168,5.973167449,20.2
Qwen2.5,7B,30.60042792,35.09583636,31.82301024,38.06765724,29.00245266,26.6583557,22.76986013,24.681652,18.80700841,19.4008618,30.01476887,23.51406507,22.36847429,26.81819014,12.35940834,16.90808767,25.6
DeepSeek-R1-Distill-Qwen,7B,20.35132478,27.17757498,24.43573415,29.80997599,19.54115844,19.90161544,10.76043569,18.32481468,11.62183426,11.56624164,13.87669405,10.55271127,12.59033363,15.40396111,5.58310932,8.667428893,16.3
Llama3.1,8B,34.52259883,38.33822217,33.01412298,39.74266765,30.2957922,29.12672912,29.32886382,24.18833958,21.47051026,23.18106901,30.06560131,23.38493055,29.92847365,29.7542792,28.15894652,32.83001301,29.8
DeepSeek-R1-Distill-Llama,8B,26.83200781,31.7730021,27.0438454,33.96514207,24.10749908,23.91348172,9.96750769,19.64706941,15.56546868,16.27597993,21.05280881,15.20043533,21.25802915,23.83043924,13.51666352,9.638684801,20.8
Aya-Expanse,8B,35.79635596,39.4719906,34.78542969,40.21721716,31.36046977,28.75516518,17.14807821,25.65744135,23.10722406,25.99477537,34.18823874,14.77261274,20.77207164,31.01681574,13.59574055,11.75176977,26.8
Gemma2,9B,36.18825529,40.02103492,35.05252681,41.14062609,31.91618976,37.86227873,31.03539084,26.08246296,23.0042542,25.49787969,33.44489507,25.11795047,32.03688503,31.78120279,44.14292516,36.31615687,33.2
InternLM2.5,20B,28.44086317,34.19172602,27.71415048,34.23278898,25.80849672,21.20956837,5.374061092,23.80511945,15.58244528,17.6279161,18.51872605,6.069004246,20.03345132,20.90762164,12.32010342,4.036552957,19.7
Gemma2,27B,37.22705485,40.60967447,35.93933935,41.72576731,32.455173,39.15892317,33.65359813,27.01334369,24.07763859,26.42238135,35.73871335,27.01784892,33.1112053,32.14433354,47.11397671,39.08524445,34.5
Aya-Expanse,32B,38.608436,42.31617004,37.30382645,42.85320693,33.89015155,37.45925036,29.39524004,28.49199005,26.18624984,28.88181933,38.34713133,22.64982963,29.75998684,34.24203284,30.43195431,24.00055842,32.8
Qwen2.5,32B,34.65292784,39.21003168,34.35836731,40.56242863,30.98087414,32.66009776,28.91781703,26.52716432,21.84770355,25.19405613,34.45328319,26.7110953,26.8750887,30.75196945,27.60315336,26.84581298,30.5
DeepSeek-R1-Distill-Qwen,32B,33.3278146,37.44888446,32.16335894,38.31206026,29.83483025,32.72127497,26.64312865,25.37340136,21.56942252,24.66278478,31.38449234,24.47361487,26.0923515,29.30621356,20.56398809,22.01069615,28.5
Llama3.1,70B,37.78667333,40.14426191,34.69175215,42.33699497,32.77957172,39.02338668,36.15213827,27.54098936,24.24523042,26.40164759,36.56194934,28.56258637,32.94266033,33.95663257,46.17401279,42.29109267,35.1
Llama3.3,70B,36.61080571,39.28334672,32.64779967,39.24953772,32.05167501,33.76866476,35.76205117,27.32152658,24.50844208,26.12416628,35.41971902,27.86239304,32.72258884,33.04924856,40.98902919,40.96952971,33.6
DeepSeek-R1-Distill-Llama,70B,35.49343362,39.44565502,33.9651376,40.56748563,31.18094998,37.63009927,33.28587109,26.10412006,22.8866035,26.00042446,33.38604654,26.23485994,32.23783647,30.47100804,41.91482733,37.71629386,33.0
Qwen2.5,72B,36.981703,40.64544276,35.50003021,41.8424013,32.77199724,38.15500444,33.27517426,27.92299421,24.64326521,27.71578163,36.21089205,28.78126272,31.37476263,33.01204982,32.1400245,31.80306657,33.3
DeepSeek-V3,37B/671B,37.64944395,40.8168615,35.24159733,41.62332843,32.775864,40.12715221,33.91713319,26.52711492,24.50365244,27.09774948,35.4699618,27.18139684,33.00523598,32.90975361,44.84851146,38.80260784,34.5
gpt-4o-mini-2024-07-18,,36.90706678,40.57299748,34.86167904,41.41602281,31.69747058,39.00494929,33.00092979,25.98091315,23.90199042,26.47603889,34.86143118,26.19239506,32.49013682,31.6610348,45.32959759,38.22946507,33.9