,Size,en,cs,de,es,fr,ru,sr,bn,zh,ja,ko,ar,th,hu,vi,sw,te,avg,STD,GAP,max
InternLM2.5,7B,63.1,30.15,46.4125,48.71875,46.33125,43.4125,34.64375,24.81875,43.475,32.6,31.7625,40.8125,36.48125,34.4875,35.5125,29.29375,15.575,37.5 ,10.78862095,27.2,63.1
Qwen2.5,7B,68.31875,53.1125,56.225,58.64375,56.0625,55.79375,51,48.1625,59.58125,49.26875,52.44375,55.11875,64.5,46.3,59.45625,34.75625,40.56875,53.5 ,8.23740413,15.8,68.31875
Llama3.1,8B,82.03125,70.34375,73.7125,75.54375,76.56875,69.31875,68.75,59.59375,63.89375,61.775,63.3875,68.69375,72.05625,68.01875,73.15625,64.08125,50.84375,68.3 ,7.358858715,14.5,82.03125
Qwen2.5,32B,86.4875,78.4125,84.175,85.04375,83.825,79.4375,77.68125,71.5875,85.025,79.2,82.2,82.4375,83.68125,78.30625,86.18125,70.94375,54.7875,79.4 ,7.830085814,7.6,86.4875
Llama3.1,70B,75.66875,58.56875,67.7875,68.3125,65.4375,63.94375,65.7,46.4875,50.5,53.775,51.75,56.3875,63.175,53.8625,62.5625,37.2875,34.95,57.4 ,10.98923522,19.4,75.66875
Llama3.3,70B,71.29375,53.19375,68.49375,66.9875,59,58.69375,59.875,37.4,39.90625,38.2625,43.4,37.325,59.33125,49.175,54.53125,35.46875,24.325,50.4 ,13.52539238,22.2,71.29375
Qwen2.5,72B,86.5,80.45,82.4625,83.34375,82.75,79.21875,79.53125,75.45,85.3875,80.875,82.65625,80.84375,85.46875,76.44375,84.41875,73.03125,71.65625,80.6 ,4.331150096,6.3,86.5
DeepSeek-V3,671B,91.23125,81.7125,85.375,88.46875,87.48125,81.81875,82.0625,81.15,87.6625,83.825,88.19375,84.5,87.15625,82.375,89.6,84.8875,80.88125,85.2 ,3.2544315,6.4,91.23125
gpt-4o-mini-2024-07-18,,89.525,83.425,86.7625,87.48125,88.05,83.35,83.23125,71.08125,81.55,80.8,76,82.49375,83.64375,82.70625,88.2125,79.98125,67.49375,82.1 ,5.940026697,7.9,89.525
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ruler_en,ctx_length,niah_single,niah_multikey,niah_multivalue,niah_multiquery,qaiah_single_em,qaiah_single_f1,qaiah_multikey_em,qaiah_multikey_f1,qaiah_multiquery_em,qaiah_multiquery_f1,vt,avearge,,,,,,,,,
llama3.1-8b-instruct,131072,100,98,67.75,71.5,80,71.5,78,68.15,73,52.27,88,82.03125,,,,,,,,,
qwen2.5-7b-instruct,131072,84,74,48.5,53.75,84,43.44,64,41.88,64.5,24.97,73.8,68.31875,,,,,,,,,
Internlm2.5-7B-chat,131072,98,65,79,1,72,57.6,62,48.56,72,34.54,55.8,63.1,,,,,,,,,
qwen2.5-32b-instruct,131072,100,92,91.25,72.25,86,48.76,78,47.96,77,33.25,95.4,86.4875,,,,,,,,,
Llama-3.1-70B-Instruct,131072,96,91,84.75,74.5,60,62.22,60,61.35,55.5,43.08,83.6,75.66875,,,,,,,,,
Llama-3.3-70B-Instruct,131072,95,84,86.25,54,65,63.08,61,51.21,62.5,41.51,62.6,71.29375,,,,,,,,,
Qwen-2.5-72B-Instruct,131072,100,97,93.25,73.25,79,71.04,73,69.33,76.5,59.04,100,86.5,,,,,,,,,
DeepSeek-V3,131072,100,94,97.75,94.5,88,65.32,78,54.83,79,56.32,98.6,91.23125,,,,,,,,,
gpt-4o-mini-2024-07-18,128000,100,100,95.5,91.5,77,59.45,76,60.91,82,47.39,94.2,89.525,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ruler_zh,ctx_length,niah_single,niah_multikey,niah_multivalue,niah_multiquery,qaiah_single_em,qaiah_single_f1,qaiah_multikey_em,qaiah_multikey_f1,qaiah_multiquery_em,qaiah_multiquery_f1,vt,avearge,,,,,,,,,
llama3.1-8b-instruct,131072,98,80,48.25,49,50,66.06,60,75.39,47.5,47.58,78.4,63.89375,,,,,,,,,
qwen2.5-7b-instruct,131072,94,76,47,7.75,65,47.84,62,43.66,60.5,29.45,64.4,59.58125,,,,,,,,,
Internlm2.5-7B-chat,131072,23,29,75.5,0,65,55.2,55,44.6,66.5,31.18,33.8,43.475,,,,,,,,,
qwen2.5-32b-instruct,131072,98,87,89.5,70.5,83,39.82,78,38.87,79,35.57,95.2,85.025,,,,,,,,,
Llama-3.1-70B-Instruct,131072,94,55,69.25,14.75,40,51.73,37,51.98,31,28.26,63,50.5,,,,,,,,,
Llama-3.3-70B-Instruct,131072,80,18,53.5,11.75,40,49.76,29,40.57,30,27.36,57,39.90625,,,,,,,,,
Qwen-2.5-72B-Instruct,131072,98,96,93.5,73.5,72,73.75,75,69.78,75.5,65.61,99.6,85.3875,,,,,,,,,
DeepSeek-V3,131072,100,93,95.75,93.25,78,74.45,66,61.85,76.5,68.9,98.8,87.6625,,,,,,,,,
gpt-4o-mini-2024-07-18,128000,100,66,97.25,82.75,66,69.12,70,73.08,73,44.89,97.4,81.55,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ruler_es,ctx_length,niah_single,niah_multikey,niah_multivalue,niah_multiquery,qaiah_single_em,qaiah_single_f1,qaiah_multikey_em,qaiah_multikey_f1,qaiah_multiquery_em,qaiah_multiquery_f1,vt,avearge,,,,,,,,,
llama3.1-8b-instruct,131072,99,96,75,73.75,67,64.32,71,65.67,53,42.22,69.6,75.54375,,,,,,,,,
qwen2.5-7b-instruct,131072,98,71,51.25,46.5,50,37.54,54,38.09,47,21.98,51.4,58.64375,,,,,,,,,
Internlm2.5-7B-chat,131072,53,46,68.25,0,64,43.33,65,40.44,48.5,22.85,45,48.71875,,,,,,,,,
qwen2.5-32b-instruct,131072,100,98,90,73.25,76,54.32,78,54.08,66.5,42.86,98.6,85.04375,,,,,,,,,
Llama-3.1-70B-Instruct,131072,92,81,87.25,34.75,54,52.01,59,54.39,52.5,39.27,86,68.3125,,,,,,,,,
Llama-3.3-70B-Instruct,131072,98,77,88,37.5,57,41.57,52,42.36,45,28.96,81.4,66.9875,,,,,,,,,
Qwen-2.5-72B-Instruct,131072,100,97,95.75,74,68,64.66,67,66.97,65,60.63,100,83.34375,,,,,,,,,
DeepSeek-V3,131072,100,98,97.5,95.25,76,62.2,69,53.25,72,58.93,100,88.46875,,,,,,,,,
gpt-4o-mini-2024-07-18,128000,100,97,98.5,95.75,71,62.04,66,56.78,74,48.73,97.6,87.48125,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ruler_fr,ctx_length,niah_single,niah_multikey,niah_multivalue,niah_multiquery,qaiah_single_em,qaiah_single_f1,qaiah_multikey_em,qaiah_multikey_f1,qaiah_multiquery_em,qaiah_multiquery_f1,vt,avearge,,,,,,,,,
llama3.1-8b-instruct,131072,98,97,73.25,77.5,65,58,70,59.9,59,34.29,72.8,76.56875,,,,,,,,,
qwen2.5-7b-instruct,131072,85,67,49,34.5,56,42.82,55,38.9,46,21.49,56,56.0625,,,,,,,,,
Internlm2.5-7B-chat,131072,59,47,66,0.75,61,43.71,50,33.16,49.5,22.48,37.4,46.33125,,,,,,,,,
qwen2.5-32b-instruct,131072,100,96,91.5,72.5,73,48.29,72,49.09,70,36.57,95.6,83.825,,,,,,,,,
Llama-3.1-70B-Instruct,131072,93,78,87.25,29.75,51,49.73,53,45.26,45.5,31.55,86,65.4375,,,,,,,,,
Llama-3.3-70B-Instruct,131072,92,60,87.75,45.25,43,31.27,41,31.13,38,22.8,65,59,,,,,,,,,
Qwen-2.5-72B-Instruct,131072,100,94,95.75,74.75,64,61.73,66,56.8,67.5,53.5,100,82.75,,,,,,,,,
DeepSeek-V3,131072,99,97,97.75,95,68,56.45,72,52.97,71.5,50.72,99.6,87.48125,,,,,,,,,
gpt-4o-mini-2024-07-18,128000,100,100,98.75,98.25,68,52.22,71,51.8,70,47.44,98.4,88.05,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ruler_de,ctx_length,niah_single,niah_multikey,niah_multivalue,niah_multiquery,qaiah_single_em,qaiah_single_f1,qaiah_multikey_em,qaiah_multikey_f1,qaiah_multiquery_em,qaiah_multiquery_f1,vt,avearge,,,,,,,,,
llama3.1-8b-instruct,131072,100,97,71,75,56,54.25,60,59.98,49.5,40.79,81.2,73.7125,,,,,,,,,
qwen2.5-7b-instruct,131072,89,75,49.75,33.25,54,35.23,51,40.49,49,19.62,48.8,56.225,,,,,,,,,
Internlm2.5-7B-chat,131072,63,57,70.25,0.75,51,35.63,54,38.44,40.5,19.42,34.8,46.4125,,,,,,,,,
qwen2.5-32b-instruct,131072,100,96,93.75,73.25,71,49.73,78,53.57,64,38.66,97.4,84.175,,,,,,,,,
Llama-3.1-70B-Instruct,131072,98,87,90.75,51.75,51,47.93,48,45.69,47,35.72,68.8,67.7875,,,,,,,,,
Llama-3.3-70B-Instruct,131072,96,79,85.75,56.5,50,43.92,50,41.92,43.5,26.4,87.2,68.49375,,,,,,,,,
Qwen-2.5-72B-Instruct,131072,100,96,93.5,74.5,63,60.82,72,70.51,61.5,55.35,99.2,82.4625,,,,,,,,,
DeepSeek-V3,131072,100,93,97.75,94.75,67,56.13,64,64.26,67.5,58.43,99,85.375,,,,,,,,,
gpt-4o-mini-2024-07-18,128000,100,98,94.75,94.75,70,61.22,67,64.15,72,43.01,97.6,86.7625,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ruler_ru,ctx_length,niah_single,niah_multikey,niah_multivalue,niah_multiquery,qaiah_single_em,qaiah_single_f1,qaiah_multikey_em,qaiah_multikey_f1,qaiah_multiquery_em,qaiah_multiquery_f1,vt,avearge,,,,,,,,,
llama3.1-8b-instruct,131072,98,95,74.25,75,47,45.22,56,50.43,39.5,34.85,69.8,69.31875,,,,,,,,,
qwen2.5-7b-instruct,131072,81,82,54.25,32,49,34.39,49,40.32,36.5,19.99,62.6,55.79375,,,,,,,,,
Internlm2.5-7B-chat,131072,75,56,71.75,0.75,38,33.9,35,32.67,21,17.32,49.8,43.4125,,,,,,,,,
qwen2.5-32b-instruct,131072,100,95,88,75,61,45.38,68,44.84,49.5,31.71,99,79.4375,,,,,,,,,
Llama-3.1-70B-Instruct,131072,95,84,83.25,50.5,45,39.86,38,33.3,33,27.49,82.8,63.94375,,,,,,,,,
Llama-3.3-70B-Instruct,131072,86,75,79.5,46.75,32,27.07,33,28.65,32.5,22,84.8,58.69375,,,,,,,,,
Qwen-2.5-72B-Instruct,131072,100,98,96,74.75,62,57.67,55,55.13,48,43.12,100,79.21875,,,,,,,,,
DeepSeek-V3,131072,100,96,96.5,92.75,62,51.74,58,51.6,49.5,43.15,99.8,81.81875,,,,,,,,,
gpt-4o-mini-2024-07-18,128000,100,98,95.25,96.25,63,53.9,60,56.11,54.5,38.85,99.8,83.35,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ruler_ja,ctx_length,niah_single,niah_multikey,niah_multivalue,niah_multiquery,qaiah_single_em,qaiah_single_f1,qaiah_multikey_em,qaiah_multikey_f1,qaiah_multiquery_em,qaiah_multiquery_f1,vt,avearge,,,,,,,,,
llama3.1-8b-instruct,131072,95,82,57,61,46,51.33,47,53.55,39,38.14,67.2,61.775,,,,,,,,,
qwen2.5-7b-instruct,131072,82,67,50.5,8.75,40,39.13,46,36.91,34.5,22.53,65.4,49.26875,,,,,,,,,
Internlm2.5-7B-chat,131072,13,13,69,0,49,38.61,48,41.29,33,22.96,35.8,32.6,,,,,,,,,
qwen2.5-32b-instruct,131072,100,88,91.5,67.5,69,42.92,63,42.23,56,32.64,98.6,79.2,,,,,,,,,
Llama-3.1-70B-Instruct,131072,94,67,78.75,27.25,30,29.73,37,37.45,24,23.34,72.2,53.775,,,,,,,,,
Llama-3.3-70B-Instruct,131072,76,40,50.75,9.75,27,27.1,25,31.8,26,21.81,51.6,38.2625,,,,,,,,,
Qwen-2.5-72B-Instruct,131072,100,89,96.5,72.5,65,65.63,62,64.93,62,53.27,100,80.875,,,,,,,,,
DeepSeek-V3,131072,100,92,97.75,95.25,66,55.6,58,61.07,62,61.5,99.6,83.825,,,,,,,,,
gpt-4o-mini-2024-07-18,128000,100,71,99.25,83.25,64,60.72,72,64.83,60.5,35.92,96.4,80.8,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ruler_th,ctx_length,niah_single,niah_multikey,niah_multivalue,niah_multiquery,qaiah_single_em,qaiah_single_f1,qaiah_multikey_em,qaiah_multikey_f1,qaiah_multiquery_em,qaiah_multiquery_f1,vt,avearge,,,,,,,,,
llama3.1-8b-instruct,131072,99,97,69.75,76.5,57,45.57,61,57.25,42,28.79,74.2,72.05625,,,,,,,,,
qwen2.5-7b-instruct,131072,90,85,68,49.5,59,38.36,57,39.61,40.5,20.21,67,64.5,,,,,,,,,
Internlm2.5-7B-chat,131072,64,61,74.5,9.75,16,12.06,24,14.97,7,5.39,35.6,36.48125,,,,,,,,,
qwen2.5-32b-instruct,131072,100,97,91.25,73.5,77,45.37,79,45.79,54.5,28.3,97.2,83.68125,,,,,,,,,
Llama-3.1-70B-Instruct,131072,97,85,85.5,74.5,34,24.3,24,22.82,25,11.65,80.4,63.175,,,,,,,,,
Llama-3.3-70B-Instruct,131072,92,80,83.75,57.5,20,15.17,32,26.76,22,10.34,87.4,59.33125,,,,,,,,,
Qwen-2.5-72B-Instruct,131072,100,98,96.5,74.25,74,58.77,80,63.41,61,48.65,100,85.46875,,,,,,,,,
DeepSeek-V3,131072,100,94,98.5,93.25,74,51.15,70,54.76,69.5,55.32,98,87.15625,,,,,,,,,
gpt-4o-mini-2024-07-18,128000,100,91,91.5,96.25,68,49,75,50.79,60,32.58,87.4,83.64375,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ruler_sw,ctx_length,niah_single,niah_multikey,niah_multivalue,niah_multiquery,qaiah_single_em,qaiah_single_f1,qaiah_multikey_em,qaiah_multikey_f1,qaiah_multiquery_em,qaiah_multiquery_f1,vt,avearge,,,,,,,,,
llama3.1-8b-instruct,131072,100,89,70.25,68,46,43.39,40,42.06,31,27.17,68.4,64.08125,,,,,,,,,
qwen2.5-7b-instruct,131072,61,54,47.5,5.75,21,19.11,19,16.2,10,9.51,59.8,34.75625,,,,,,,,,
Internlm2.5-7B-chat,131072,67,59,48.25,1.5,19,16.64,14,14.42,8,7.03,17.6,29.29375,,,,,,,,,
qwen2.5-32b-instruct,131072,96,87,87.5,71.25,56,39.36,43,28.52,30,20.83,96.8,70.94375,,,,,,,,,
Llama-3.1-70B-Instruct,131072,40,48,82,6.5,11,13.73,12,13.52,12,8.54,86.8,37.2875,,,,,,,,,
Llama-3.3-70B-Instruct,131072,65,26,69.5,21.75,9,10.11,7,6.11,7.5,7.44,78,35.46875,,,,,,,,,
Qwen-2.5-72B-Instruct,131072,100,91,94,73.75,48,48.46,43,45.42,34.5,32.06,100,73.03125,,,,,,,,,
DeepSeek-V3,131072,100,97,96.75,93.75,64,51.66,70,55.27,59,43.76,98.6,84.8875,,,,,,,,,
gpt-4o-mini-2024-07-18,128000,100,83,96.25,89.5,61,56.18,59,55.13,51.5,32.88,99.6,79.98125,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ruler_bn,ctx_length,niah_single,niah_multikey,niah_multivalue,niah_multiquery,qaiah_single_em,qaiah_single_f1,qaiah_multikey_em,qaiah_multikey_f1,qaiah_multiquery_em,qaiah_multiquery_f1,vt,avearge,,,,,,,,,
llama3.1-8b-instruct,131072,87,91,52,74.25,45,40.98,36,34.81,18.5,17.81,73,59.59375,,,,,,,,,
qwen2.5-7b-instruct,131072,92,84,51,24,32,23.5,30,25,13.5,12.77,58.8,48.1625,,,,,,,,,
Internlm2.5-7B-chat,131072,30,20,76,0.75,11,9.47,11,9.47,2,4.48,47.8,24.81875,,,,,,,,,
qwen2.5-32b-instruct,131072,98,94,76,73,51,33.08,50,32.88,31.5,28.29,99.2,71.5875,,,,,,,,,
Llama-3.1-70B-Instruct,131072,92,74,79.25,29.75,17,15.79,12,14.16,5.5,9.26,62.4,46.4875,,,,,,,,,
Llama-3.3-70B-Instruct,131072,94,38,71,12,7,9.13,8,7.66,4,6.02,65.2,37.4,,,,,,,,,
Qwen-2.5-72B-Instruct,131072,100,96,92.25,73.75,52,44.8,46,46.7,44,42.22,99.6,75.45,,,,,,,,,
DeepSeek-V3,131072,100,91,97.5,93,59,50.53,55,49.52,54.5,45.26,99.2,81.15,,,,,,,,,
gpt-4o-mini-2024-07-18,128000,100,65,90.75,79,57,49.86,53,52.12,46.5,26.32,77.4,71.08125,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ruler_te,ctx_length,niah_single,niah_multikey,niah_multivalue,niah_multiquery,qaiah_single_em,qaiah_single_f1,qaiah_multikey_em,qaiah_multikey_f1,qaiah_multiquery_em,qaiah_multiquery_f1,vt,avearge,,,,,,,,,
llama3.1-8b-instruct,131072,83,74,47.5,35.25,34,38.92,39,39.39,19,19.32,75,50.84375,,,,,,,,,
qwen2.5-7b-instruct,131072,81,85,60.75,18,15,17.06,16,10.98,4,5.58,44.8,40.56875,,,,,,,,,
Internlm2.5-7B-chat,131072,11,6,68,0,2,5.43,3,4.15,0,0.99,34.6,15.575,,,,,,,,,
qwen2.5-32b-instruct,131072,91,64,83,21,29,24.33,40,22.81,11.5,10.47,98.8,54.7875,,,,,,,,,
Llama-3.1-70B-Instruct,131072,91,36,80.75,15.75,7,10.47,6,5.38,1.5,1.84,41.6,34.95,,,,,,,,,
Llama-3.3-70B-Instruct,131072,52,12,58.25,5.25,1,4.13,1,1.96,0.5,0.99,64.6,24.325,,,,,,,,,
Qwen-2.5-72B-Instruct,131072,100,95,94,74.25,37,36.7,48,34.88,25,26.71,100,71.65625,,,,,,,,,
DeepSeek-V3,131072,100,95,96.75,92.5,54,45.68,60,52.55,50,44.94,98.8,80.88125,,,,,,,,,
gpt-4o-mini-2024-07-18,128000,100,61,91,58.75,47,41.53,52,46.95,47,26.5,83.2,67.49375,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ruler_ar,ctx_length,niah_single,niah_multikey,niah_multivalue,niah_multiquery,qaiah_single_em,qaiah_single_f1,qaiah_multikey_em,qaiah_multikey_f1,qaiah_multiquery_em,qaiah_multiquery_f1,vt,avearge,,,,,,,,,
llama3.1-8b-instruct,131072,99,95,69.25,76,53,50.18,46,50.06,32.5,26.24,78.8,68.69375,,,,,,,,,
qwen2.5-7b-instruct,131072,94,85,58,23.75,48,31.53,40,37.02,35,20.21,57.2,55.11875,,,,,,,,,
Internlm2.5-7B-chat,131072,92,79,76.75,4.25,27,25.16,28,22.54,14.5,11.16,5,40.8125,,,,,,,,,
qwen2.5-32b-instruct,131072,100,99,90.75,73.25,73,48.13,65,45.1,60.5,36.53,98,82.4375,,,,,,,,,
Llama-3.1-70B-Instruct,131072,96,76,85.75,35.25,27,27.92,24,26.31,23.5,18.68,83.6,56.3875,,,,,,,,,
Llama-3.3-70B-Instruct,131072,66,48,45.5,19.5,15,14.88,12,16.07,13,7.72,79.6,37.325,,,,,,,,,
Qwen-2.5-72B-Instruct,131072,100,97,98.75,75,64,61.64,61,63.65,51,45.96,100,80.84375,,,,,,,,,
DeepSeek-V3,131072,100,95,99.5,92,66,53.99,68,56.16,56.5,52.15,99,84.5,,,,,,,,,
gpt-4o-mini-2024-07-18,128000,100,92,97.25,91,66,58.99,59,54.78,56.5,38.28,98.2,82.49375,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ruler_ko,ctx_length,niah_single,niah_multikey,niah_multivalue,niah_multiquery,qaiah_single_em,qaiah_single_f1,qaiah_multikey_em,qaiah_multikey_f1,qaiah_multiquery_em,qaiah_multiquery_f1,vt,avearge,,,,,,,,,
llama3.1-8b-instruct,131072,98,71,59.25,76.75,55,46.11,51,41.96,44.5,27.24,51.6,63.3875,,,,,,,,,
qwen2.5-7b-instruct,131072,95,68,53.5,15.75,41,21.84,45,27.61,38.5,8.52,62.8,52.44375,,,,,,,,,
Internlm2.5-7B-chat,131072,30,19,66.5,0,35,16.74,47,19,23,12.86,33.6,31.7625,,,,,,,,,
qwen2.5-32b-instruct,131072,100,88,90.25,72.25,73,37.88,74,37.04,61.5,22.1,98.6,82.2,,,,,,,,,
Llama-3.1-70B-Instruct,131072,96,57,73,18,36,25.57,28,24.65,27,10.88,79,51.75,,,,,,,,,
Llama-3.3-70B-Instruct,131072,84,46,66.25,12.75,32,21.37,26,17.75,23,6.55,57.2,43.4,,,,,,,,,
Qwen-2.5-72B-Instruct,131072,98,86,95.5,74.75,78,57.88,69,50.4,60,40.6,100,82.65625,,,,,,,,,
DeepSeek-V3,131072,100,94,98,95.25,73,52.09,78,53.5,67.5,48.54,99.8,88.19375,,,,,,,,,
gpt-4o-mini-2024-07-18,128000,100,50,91.5,78,66,43.6,63,40.92,65.5,24.98,94,76,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ruler_vi,ctx_length,niah_single,niah_multikey,niah_multivalue,niah_multiquery,qaiah_single_em,qaiah_single_f1,qaiah_multikey_em,qaiah_multikey_f1,qaiah_multiquery_em,qaiah_multiquery_f1,vt,avearge,,,,,,,,,
llama3.1-8b-instruct,131072,98,93,74.5,69.25,60,60.15,57,57.78,52.5,42.61,81,73.15625,,,,,,,,,
qwen2.5-7b-instruct,131072,92,80,56.75,11,66,46.03,63,45.18,55.5,26.88,51.4,59.45625,,,,,,,,,
Internlm2.5-7B-chat,131072,52,40,64.25,1.75,35,31.74,37,27.83,20.5,15.45,33.6,35.5125,,,,,,,,,
qwen2.5-32b-instruct,131072,100,92,90.75,74,79,49.23,79,51.92,76.5,32.38,98.2,86.18125,,,,,,,,,
Llama-3.1-70B-Instruct,131072,86,76,87.75,60.25,42,41.72,41,38.03,45.5,30.84,62,62.5625,,,,,,,,,
Llama-3.3-70B-Instruct,131072,84,65,81.25,28,40,34.85,36,33.81,41,26.01,61,54.53125,,,,,,,,,
Qwen-2.5-72B-Instruct,131072,100,96,96,74.75,67,67.94,72,65.11,70,55.8,99.6,84.41875,,,,,,,,,
DeepSeek-V3,131072,100,98,99,96,73,56.33,78,63.47,73,60.57,99.8,89.6,,,,,,,,,
gpt-4o-mini-2024-07-18,128000,100,98,97.75,92.25,73,61.34,74,66,71.5,39.2,99.2,88.2125,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ruler_cs,ctx_length,niah_single,niah_multikey,niah_multivalue,niah_multiquery,qaiah_single_em,qaiah_single_f1,qaiah_multikey_em,qaiah_multikey_f1,qaiah_multiquery_em,qaiah_multiquery_f1,vt,avearge,,,,,,,,,
llama3.1-8b-instruct,131072,98,95,75.25,77.5,53,56.25,49,49.67,46,34.67,69,70.34375,,,,,,,,,
qwen2.5-7b-instruct,131072,91,82,54.75,21.25,47,29.75,46,28.07,30.5,15.73,52.4,53.1125,,,,,,,,,
Internlm2.5-7B-chat,131072,31,23,52.5,0,40,30.41,45,37.14,31.5,17.8,18.2,30.15,,,,,,,,,
qwen2.5-32b-instruct,131072,100,90,89.75,72.75,59,43.81,67,50.2,51,38.55,97.8,78.4125,,,,,,,,,
Llama-3.1-70B-Instruct,131072,82,80,87.25,49,39,39.87,32,32.88,37.5,31.04,61.8,58.56875,,,,,,,,,
Llama-3.3-70B-Instruct,131072,94,81,76.25,40,31,30.24,24,23.81,28.5,21.28,50.8,53.19375,,,,,,,,,
Qwen-2.5-72B-Instruct,131072,100,94,96.25,74.75,62,53.96,69,63.03,48,46.9,99.6,80.45,,,,,,,,,
DeepSeek-V3,131072,100,96,97,94.5,55,53.35,61,52.52,51,46.04,99.2,81.7125,,,,,,,,,
gpt-4o-mini-2024-07-18,128000,100,97,94.25,93.25,67,52.62,59,48.95,60.5,39.52,96.4,83.425,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ruler_hu,ctx_length,niah_single,niah_multikey,niah_multivalue,niah_multiquery,qaiah_single_em,qaiah_single_f1,qaiah_multikey_em,qaiah_multikey_f1,qaiah_multiquery_em,qaiah_multiquery_f1,vt,avearge,,,,,,,,,
llama3.1-8b-instruct,131072,99,93,69.25,67.5,55,46.16,51,48.8,34,26.96,75.4,68.01875,,,,,,,,,
qwen2.5-7b-instruct,131072,90,70,44.5,12.5,35,21.73,35,19.24,25,12.25,58.4,46.3,,,,,,,,,
Internlm2.5-7B-chat,131072,68,48,43.25,0.25,28,20.87,40,29.71,22,13.4,26.4,34.4875,,,,,,,,,
qwen2.5-32b-instruct,131072,100,96,90.75,73,58,41,63,41.55,46.5,35.68,99.2,78.30625,,,,,,,,,
Llama-3.1-70B-Instruct,131072,73,75,85.25,16.25,34,26.43,36,28.97,30,28.42,81.4,53.8625,,,,,,,,,
Llama-3.3-70B-Instruct,131072,85,57,82.5,8,25,19.67,28,21.11,22.5,17.43,85.4,49.175,,,,,,,,,
Qwen-2.5-72B-Instruct,131072,100,96,92.25,73.5,52,54.21,52,53.61,46,44.05,99.8,76.44375,,,,,,,,,
DeepSeek-V3,131072,100,93,97,98,61,49.73,58,50.13,52,43.01,100,82.375,,,,,,,,,
gpt-4o-mini-2024-07-18,128000,100,95,92.25,88.5,72,57.69,62,58.55,56.5,38.81,95.4,82.70625,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ruler_sr,ctx_length,niah_single,niah_multikey,niah_multivalue,niah_multiquery,qaiah_single_em,qaiah_single_f1,qaiah_multikey_em,qaiah_multikey_f1,qaiah_multiquery_em,qaiah_multiquery_f1,vt,avearge,,,,,,,,,
llama3.1-8b-instruct,131072,99,96,73.75,74.75,44,43.96,45,40.06,35.5,27.76,82,68.75,,,,,,,,,
qwen2.5-7b-instruct,131072,84,75,54.5,35,38,23.94,38,26.18,26.5,17.51,57,51,,,,,,,,,
Internlm2.5-7B-chat,131072,57,49,68.5,1.75,27,21.06,32,22.54,11.5,10.66,30.4,34.64375,,,,,,,,,
qwen2.5-32b-instruct,131072,100,97,93.75,74,53,34.53,62,43.74,42.5,31.05,99.2,77.68125,,,,,,,,,
Llama-3.1-70B-Instruct,131072,99,82,93.75,75.75,28,26.38,34,31.91,25.5,21.84,87.6,65.7,,,,,,,,,
Llama-3.3-70B-Instruct,131072,97,88,82.75,54.75,23,19.54,24,24.79,22.5,15.61,87,59.875,,,,,,,,,
Qwen-2.5-72B-Instruct,131072,100,99,99,74.75,58,52.6,60,56.66,45.5,47.71,100,79.53125,,,,,,,,,
DeepSeek-V3,131072,99,92,98.75,96.75,58,46.97,63,55.69,49,44.91,100,82.0625,,,,,,,,,
gpt-4o-mini-2024-07-18,128000,100,98,93.75,95.5,69,53.6,58,54.12,54,37.96,97.6,83.23125,,,,,,,,,