,,,,,,,,,,,,,,,,,,,,,,
,Size,en,cs,de,es,fr,ru,sr,bn,zh,ja,ko,ar,th,hu,vi,sw,te,avg,STD,GAP,max
InternLM2.5,7B,0.3103,0.2076,0.2545,0.2567,0.2768,0.2366,0.1585,0.1362,0.2679,0.2188,0.221,0.1741,0.1004,0.1049,0.192,0.2009,0.183,0.206,0.059288769,0.111,0.310
Qwen2.5,7B,0.3036,0.2902,0.2746,0.3058,0.2946,0.2701,0.2812,0.2455,0.2768,0.3058,0.2835,0.2746,0.3281,0.2522,0.308,0.1875,0.2076,0.276,0.036188481,0.032,0.328
DeepSeek-R1-Distill-Qwen,7B,0.3393,0.2723,0.317,0.3036,0.317,0.3147,0.2902,0.2835,0.2165,0.2321,0.3259,0.2768,0.2545,0.308,0.2634,0.2478,0.2589,0.284,0.035003754,0.059,0.339
Llama3.1,8B,0.2701,0.2054,0.2812,0.2478,0.2991,0.2612,0.2433,0.2054,0.2344,0.2567,0.1964,0.221,0.2701,0.2321,0.2656,0.2143,0.1496,0.238,0.037080742,0.036,0.299
DeepSeek-R1-Distill-Llama,8B,0.3929,0.2812,0.2478,0.3839,0.3482,0.2589,0.3013,0.2679,0.1942,0.2121,0.2902,0.2768,0.2746,0.2991,0.2746,0.2567,0.2232,0.281,0.053922559,0.118,0.393
Aya-Expanse,8B,0.2589,0.2567,0.2567,0.2679,0.2545,0.3103,0.2612,0.2388,0.2768,0.2567,0.3013,0.2679,0.2589,0.2612,0.3058,0.2121,0.2009,0.262,0.028508484,0.008,0.310
Gemma2,9B,0.2545,0.2321,0.2656,0.2254,0.2522,0.2433,0.2277,0.2634,0.2232,0.2366,0.2299,0.2076,0.2411,0.2411,0.2478,0.2411,0.2277,0.239,0.0150795,0.018,0.266
InternLM2.5,20B,0.2879,0.3058,0.2946,0.2768,0.2969,0.2656,0.2076,0.1339,0.3482,0.2522,0.2366,0.2433,0.1808,0.221,0.2589,0.0982,0.1763,0.240,0.064915549,0.056,0.348
Gemma2,27B,0.308,0.2411,0.2433,0.2835,0.2746,0.2879,0.2232,0.2634,0.2902,0.2411,0.2254,0.2746,0.3125,0.2768,0.2746,0.2344,0.2924,0.267,0.027992516,0.043,0.313
Aya-Expanse,32B,0.2835,0.2589,0.3036,0.3125,0.2946,0.3058,0.25,0.2522,0.3036,0.3103,0.2946,0.2924,0.2433,0.2723,0.2946,0.2165,0.2188,0.277,0.03132409,0.017,0.313
Qwen2.5,32B,0.4107,0.3862,0.3951,0.4129,0.4018,0.3862,0.3705,0.3192,0.4397,0.3996,0.3772,0.3973,0.3393,0.3929,0.3705,0.3147,0.2991,0.377,0.038274384,0.038,0.440
DeepSeek-R1-Distill-Qwen,32B,0.4397,0.3237,0.4777,0.3906,0.4375,0.3929,0.3549,0.2969,0.3326,0.3728,0.4554,0.3951,0.4308,0.346,0.3571,0.3281,0.1585,0.370,0.074972655,0.077,0.478
Llama3.1,70B,0.4174,0.3772,0.4062,0.3996,0.4353,0.3929,0.3103,0.2991,0.3862,0.3237,0.3549,0.3661,0.3304,0.3817,0.3906,0.2879,0.2344,0.358,0.053332131,0.064,0.435
Llama3.3,70B,0.5402,0.4955,0.4955,0.4978,0.5,0.4754,0.4174,0.2746,0.4107,0.4241,0.4129,0.4308,0.3996,0.3996,0.471,0.3929,0.2098,0.426,0.08308768,0.121,0.540
DeepSeek-R1-Distill-Llama,70B,0.5335,0.4777,0.5491,0.5357,0.5625,0.5446,0.4442,0.3393,0.4018,0.3884,0.4442,0.471,0.4442,0.4688,0.5,0.4442,0.2902,0.461,0.075720473,0.081,0.563
Qwen2.5,72B,0.3973,0.3951,0.4375,0.4152,0.4241,0.4241,0.3973,0.3326,0.4129,0.4353,0.4353,0.3683,0.4085,0.4464,0.4107,0.2969,0.2612,0.394,0.051644737,0.021,0.446
DeepSeek-V3,671B,0.5491,0.4978,0.4978,0.5022,0.5268,0.4799,0.4665,0.4353,0.4955,0.5022,0.4464,0.471,0.4353,0.4754,0.4732,0.4107,0.3929,0.474,0.040355731,0.080,0.549
gpt-4o-mini-2024-07-18,,0.3817,0.3036,0.3839,0.3728,0.3638,0.3549,0.3772,0.3147,0.3728,0.3438,0.3527,0.317,0.3147,0.2969,0.3281,0.3036,0.308,0.341,0.031266995,0.044,0.384
gpt-4o-2024-08-06,,0.5223,0.4821,0.4866,0.4955,0.4866,0.4754,0.4688,0.4509,0.4732,0.4375,0.433,0.4241,0.4598,0.4799,0.4442,0.3996,0.3348,0.456,0.043197048,0.070,0.522
,,,,,,,,,,,,,,,,,,,,,,
Llama3.2,1B,0.1942,0.1384,0.2054,0.2254,0.2188,0.1875,0.1071,0.1027,0.221,0.1496,0.1339,0.1183,0.154,0.154,0.1875,0.1897,0.1183,0.165,0.041484457,0.037,0.225
Llama3.2,3B,0.2589,0.1808,0.2455,0.2656,0.2835,0.2232,0.1719,0.2299,0.2634,0.2768,0.1875,0.1272,0.2344,0.2165,0.2567,0.2478,0.1875,0.227,0.043011944,0.037,0.284
Gemma3,1B,0.2656,0.2232,0.2411,0.2478,0.2411,0.2656,0.1897,0.2321,0.2656,0.2254,0.2254,0.2679,0.2165,0.2009,0.2679,0.1652,0.2902,0.237,0.032541584,0.032,0.290
Gemma3,4B,0.2857,0.2902,0.2969,0.2946,0.2612,0.25,0.2701,0.2679,0.3103,0.2701,0.308,0.2656,0.2612,0.2411,0.2746,0.1987,0.2924,0.273,0.027309501,0.019,0.310